,policy_id,authorities_contacted_police,injury_claim,num_vehicles_involved,incident_type_collision,policy_liability,fraud,customer_gender_male,num_injuries,incident_dow,collision_type_front,driver_relationship_self,authorities_contacted_fire,incident_day,total_claim_amount,incident_month,incident_severity,policy_state_or,customer_gender_female,collision_type_rear,policy_state_id,incident_type_theft,policy_deductable,policy_state_az,policy_state_ca,num_witnesses,driver_relationship_spouse,driver_relationship_na,policy_state_nv,vehicle_claim,policy_annual_premium,driver_relationship_other,incident_hour,collision_type_na,driver_relationship_child,num_claims_past_year,months_as_customer,police_report_available,authorities_contacted_ambulance,customer_education,customer_age,incident_type_breakin,auto_year,authorities_contacted_none,num_insurers_past_5_years,collision_type_side,policy_state_wa
13,798,0,0.0,2,1,2,0,0,0,3,1,1,0,4,11500.0,4,0,0,1,0,0,0,750,0,1,0,0,0,0,11500.0,2750,0,18,0,0,0,48,0,0,3,34,0,2019,1,1,0,0
14,2452,1,11000.0,3,1,2,0,0,3,6,0,1,0,22,51500.0,12,2,0,1,1,0,0,750,0,0,3,0,0,0,40500.0,3000,0,18,0,0,0,60,1,0,2,27,0,2018,0,1,0,1
15,4159,0,0.0,1,1,3,1,1,0,1,0,1,1,29,31000.0,10,2,0,0,0,0,0,750,0,1,0,0,0,0,31000.0,3000,0,13,0,0,0,176,0,0,4,44,0,2019,0,1,1,0
16,2638,1,0.0,1,0,3,0,1,0,6,0,0,0,6,9500.0,1,0,1,0,0,0,0,750,0,0,0,0,1,0,9500.0,3000,0,13,1,0,0,199,0,0,4,52,1,2020,0,1,0,0
17,2928,0,0.0,2,1,1,0,0,0,6,1,0,0,26,5000.0,5,0,1,1,0,0,0,750,0,0,2,0,0,0,5000.0,3000,0,20,0,1,1,129,0,0,1,50,0,2013,1,1,0,0
18,4761,1,0.0,2,1,3,0,1,0,5,0,1,0,23,15500.0,11,1,0,0,1,0,0,750,0,1,0,0,0,0,15500.0,3000,0,5,0,0,0,67,0,0,1,36,0,2017,0,1,0,0
19,4794,1,19000.0,3,1,1,0,1,1,4,0,1,0,18,64500.0,10,2,0,0,1,0,0,750,0,1,2,0,0,0,45500.0,2700,0,17,0,0,0,144,1,0,4,75,0,2019,0,1,0,0
20,3193,0,0.0,1,1,1,0,1,0,5,1,1,0,20,39000.0,7,2,0,0,0,0,0,750,0,1,0,0,0,0,39000.0,3000,0,6,0,0,0,13,0,1,2,30,0,2019,0,1,0,0
21,1628,0,6000.0,2,1,1,0,0,4,5,0,1,1,24,27500.0,8,2,0,1,1,0,0,750,0,1,1,0,0,0,21500.0,2800,0,6,0,0,0,29,0,0,3,33,0,2013,0,2,0,0
22,1707,0,0.0,2,1,1,0,0,0,2,0,0,0,18,16500.0,12,0,0,1,0,0,0,750,1,0,2,1,0,0,16500.0,2800,0,5,0,0,0,15,0,0,4,44,0,2018,1,1,1,0
23,3468,1,19500.0,3,1,3,0,1,1,4,0,1,0,8,50500.0,2,2,0,0,1,0,0,750,0,1,2,0,0,0,31000.0,3000,0,16,0,0,0,138,1,0,3,46,0,2017,0,1,0,0
24,383,1,0.0,3,1,1,0,1,0,0,1,1,0,4,8500.0,3,1,0,0,0,0,0,750,0,1,3,0,0,0,8500.0,2800,0,11,0,0,0,4,1,0,4,42,0,2019,0,3,0,0
25,2070,1,15000.0,3,1,0,0,1,1,1,0,0,0,19,26500.0,3,1,0,0,1,0,0,750,0,1,3,1,0,0,11500.0,2650,0,9,0,0,0,253,1,0,3,66,0,2018,0,1,0,0
26,2237,1,4000.0,4,1,0,0,1,2,4,0,1,0,8,31500.0,2,2,0,0,0,0,0,750,0,1,1,0,0,0,27500.0,2900,0,8,0,0,0,82,1,0,4,60,0,2018,0,1,1,0
27,3981,0,0.0,2,1,1,0,1,0,2,1,1,0,6,15000.0,11,0,0,0,0,0,0,750,0,0,0,0,0,1,15000.0,2650,0,8,0,0,0,5,0,0,3,42,0,2020,1,2,0,0
28,4064,0,0.0,2,1,3,0,1,0,0,0,1,0,4,16000.0,3,1,0,0,1,0,0,750,0,1,0,0,0,0,16000.0,3000,0,13,0,0,0,27,0,1,3,24,0,2019,0,3,0,0
29,2404,1,0.0,1,0,2,0,0,0,1,0,0,0,5,24000.0,2,1,0,1,0,0,0,750,0,1,0,0,1,0,24000.0,3000,0,7,1,0,0,23,0,0,1,62,1,2016,0,3,0,0
30,4284,0,0.0,2,1,3,0,1,0,2,1,1,0,21,9000.0,8,0,0,0,0,0,0,750,0,1,0,0,0,0,9000.0,2600,0,7,0,0,0,218,0,0,1,65,0,2017,1,1,0,0
31,2608,1,0.0,2,1,1,0,0,0,0,1,1,0,28,19500.0,10,1,0,1,0,0,0,750,0,0,1,0,0,0,19500.0,3000,0,9,0,0,0,97,1,0,3,27,0,2015,0,1,0,1
32,2779,1,0.0,2,1,1,0,0,0,2,0,0,0,4,17000.0,9,1,0,1,1,0,0,750,1,0,0,1,0,0,17000.0,3000,0,14,0,0,0,62,0,0,3,30,0,2017,0,1,0,0
33,4475,1,25000.0,3,1,1,0,0,1,0,0,1,0,9,44500.0,12,1,0,1,0,0,0,750,0,0,0,0,0,0,19500.0,3000,0,9,0,0,0,149,1,0,3,58,0,2018,0,1,1,1
34,4569,1,8500.0,3,1,1,0,0,1,5,0,1,0,20,39500.0,7,2,0,1,1,0,0,750,0,0,1,0,0,0,31000.0,2600,0,17,0,0,0,97,1,0,1,33,0,2016,0,1,0,1
35,4660,1,25000.0,3,1,1,0,1,1,1,0,1,0,14,63000.0,5,2,0,0,1,1,0,750,0,0,2,0,0,0,38000.0,3000,0,17,0,0,0,192,1,0,1,53,0,2019,0,1,0,0
36,1473,0,25000.0,2,1,1,0,1,1,2,0,1,0,19,38500.0,6,0,0,0,0,0,0,750,0,0,2,0,0,1,13500.0,3000,0,12,0,0,0,117,0,0,4,51,0,2018,1,1,1,0
37,3143,0,0.0,1,1,2,0,1,0,1,1,1,0,11,12500.0,6,0,1,0,0,0,0,750,0,0,0,0,0,0,12500.0,3000,0,9,0,0,0,86,0,0,2,68,0,2018,1,1,0,0
38,3319,1,0.0,1,0,2,0,0,0,2,0,0,0,16,12000.0,10,0,0,1,0,0,0,750,0,1,0,0,1,0,12000.0,3000,0,7,1,0,0,159,1,0,3,41,1,2017,0,1,0,0
39,1760,1,0.0,3,1,1,0,1,0,4,1,1,0,8,18500.0,2,1,1,0,0,0,0,750,0,0,0,0,0,0,18500.0,3000,0,1,0,0,0,33,1,0,1,41,0,2017,0,3,0,0
40,3427,1,6500.0,3,1,1,0,1,4,4,0,1,0,16,39000.0,8,2,0,0,1,0,0,750,1,0,2,0,0,0,32500.0,3000,0,20,0,0,0,118,1,0,2,48,0,2016,0,1,0,0
41,1878,0,0.0,2,1,1,0,1,0,3,0,0,0,4,9500.0,4,0,0,0,0,0,0,750,1,0,0,1,0,0,9500.0,3000,0,5,0,0,0,33,0,0,1,53,0,2017,1,1,1,0
42,2018,1,0.0,2,1,1,0,1,0,6,1,0,0,6,8500.0,10,1,0,0,0,0,0,750,1,0,0,0,0,0,8500.0,3000,1,17,0,0,0,311,1,0,3,69,0,2016,0,1,0,0
43,377,1,1000.0,3,1,2,0,1,1,5,1,0,0,23,25000.0,3,2,0,0,0,1,0,750,0,0,1,0,0,0,24000.0,3000,0,12,0,1,0,142,1,0,3,58,0,2011,0,1,0,0
44,3881,1,1500.0,2,1,2,0,1,3,5,0,1,0,19,18500.0,1,1,0,0,1,0,0,750,0,1,1,0,0,0,17000.0,3000,0,9,0,0,0,37,1,0,3,32,0,2020,0,1,0,0
45,2238,0,0.0,1,1,1,0,0,0,4,0,1,0,11,3500.0,1,0,0,1,1,0,0,750,0,1,0,0,0,0,3500.0,3000,0,2,0,0,0,39,0,0,4,46,0,2014,1,2,0,0
46,2277,1,5500.0,2,1,1,0,0,1,4,1,1,0,1,29500.0,2,1,0,1,0,0,0,750,0,1,1,0,0,0,24000.0,3000,0,16,0,0,0,171,0,0,3,53,0,2020,0,1,0,0
47,4013,1,0.0,1,0,0,0,1,0,3,0,0,0,10,12000.0,10,0,0,0,0,0,0,750,0,1,0,0,1,0,12000.0,3000,0,16,1,0,0,22,0,0,3,42,1,2012,0,1,0,0
48,4118,0,0.0,1,1,2,0,0,0,3,0,1,0,21,15000.0,3,0,0,1,0,0,0,750,0,1,0,0,0,0,15000.0,2950,0,16,0,0,0,108,0,0,3,55,0,2019,1,1,1,0
49,2454,0,0.0,2,1,1,0,1,0,6,1,1,0,25,10000.0,8,0,0,0,0,1,0,750,0,0,0,0,0,0,10000.0,2850,0,18,0,0,0,103,0,0,1,55,0,2016,1,1,0,0
50,838,1,0.0,3,1,0,0,0,0,0,0,0,0,13,24500.0,5,1,0,1,1,0,0,750,0,1,2,0,0,0,24500.0,3000,0,9,0,1,1,1,1,0,4,25,0,2016,0,2,0,0
51,2543,1,25000.0,2,1,1,0,1,1,1,1,1,0,23,44000.0,4,1,0,0,0,0,0,750,1,0,0,0,0,0,19000.0,3000,0,10,0,0,0,130,1,0,3,69,0,2015,0,1,0,0
52,4291,1,0.0,1,0,0,0,0,0,4,0,0,0,19,10000.0,4,0,0,1,0,0,0,750,0,1,0,0,1,0,10000.0,3000,0,7,1,0,0,51,0,0,4,39,1,2015,0,1,0,0
53,1076,0,0.0,1,1,1,0,1,0,3,0,1,0,31,11500.0,10,0,0,0,1,0,0,750,0,1,0,0,0,0,11500.0,3000,0,7,0,0,0,134,0,0,1,29,0,2015,1,1,0,0
54,1185,0,0.0,2,1,2,0,1,0,1,0,0,1,29,15500.0,10,2,0,0,1,0,0,750,0,1,1,0,0,0,15500.0,3000,0,12,0,1,0,140,0,0,0,48,0,2007,0,1,0,0
55,4532,0,0.0,2,1,1,0,1,0,3,0,1,0,2,12000.0,5,0,0,0,1,0,0,750,0,1,2,0,0,0,12000.0,3000,0,9,0,0,0,113,0,0,0,49,0,2019,1,1,0,0
56,4536,1,0.0,1,0,2,0,1,0,1,0,0,0,4,5500.0,6,0,0,0,0,0,0,750,0,0,0,0,1,0,5500.0,3000,0,20,1,0,0,169,0,0,2,34,1,2016,0,1,0,1
57,1192,1,23500.0,3,1,2,0,1,1,4,0,0,0,15,31500.0,11,1,0,0,1,0,0,750,0,1,1,0,0,0,8000.0,3000,1,4,0,0,0,87,1,0,4,58,0,2013,0,1,0,0
58,2865,1,0.0,3,1,0,0,1,0,5,1,1,0,29,11000.0,6,0,0,0,0,0,0,750,0,1,0,0,0,0,11000.0,3000,0,14,0,0,0,35,1,0,3,21,0,2018,0,3,0,0
59,4672,0,0.0,1,1,1,0,1,0,2,0,1,0,3,3000.0,4,0,0,0,1,0,0,750,1,0,0,0,0,0,3000.0,3000,0,4,0,0,0,128,0,0,3,47,0,2012,1,1,0,0
60,3107,1,0.0,3,1,1,0,0,0,3,0,1,0,31,19500.0,1,0,0,1,1,1,0,750,0,0,0,0,0,0,19500.0,2750,0,16,0,0,0,65,1,0,0,27,0,2020,0,1,0,0
61,1635,0,0.0,2,1,1,0,1,0,3,0,0,0,24,6500.0,10,0,0,0,0,0,0,750,0,0,2,1,0,0,6500.0,2700,0,19,0,0,0,75,0,0,4,49,0,2013,1,1,1,1
62,5,0,0.0,2,1,2,0,1,0,5,0,1,0,30,12000.0,3,0,0,0,1,1,0,750,0,0,2,0,0,0,12000.0,3000,0,6,0,0,0,34,0,0,1,39,0,2019,1,3,0,0
63,153,1,15000.0,3,1,0,0,1,1,3,0,1,0,14,26500.0,2,2,0,0,1,0,0,750,0,1,1,0,0,0,11500.0,2650,0,5,0,0,0,99,1,0,1,61,0,2007,0,1,0,0
64,243,0,0.0,1,1,0,0,1,0,1,0,1,0,1,13000.0,10,0,0,0,1,0,0,750,0,1,0,0,0,0,13000.0,3000,0,0,0,0,1,132,0,0,4,57,0,2017,1,1,0,0
65,2151,0,0.0,2,1,1,0,1,0,2,1,1,0,24,4500.0,4,0,0,0,0,0,0,750,0,0,3,0,0,1,4500.0,3000,0,9,0,0,0,145,0,0,1,48,0,2020,1,1,0,0
66,492,0,0.0,2,1,3,0,0,0,5,1,1,0,26,15500.0,1,0,0,1,0,0,0,750,0,1,0,0,0,0,15500.0,2900,0,11,0,0,0,71,0,0,4,51,0,2017,1,1,0,0
67,2226,1,25000.0,3,1,1,0,1,1,1,1,1,0,20,63500.0,8,2,0,0,0,0,0,750,0,1,1,0,0,0,38500.0,2850,0,14,0,0,0,196,1,0,3,57,0,2016,0,1,0,0
68,556,0,0.0,2,1,1,0,1,0,6,1,1,0,1,13500.0,12,0,1,0,0,0,0,750,0,0,1,0,0,0,13500.0,2550,0,13,0,0,0,146,0,0,4,58,0,2017,1,1,0,0
69,4026,0,2000.0,2,1,1,0,0,1,2,0,1,0,28,25500.0,8,2,0,1,0,0,0,750,0,0,0,0,0,0,23500.0,3000,0,9,0,0,0,72,0,1,4,54,0,2014,0,1,1,1
70,2442,1,0.0,2,1,0,0,1,0,4,0,1,0,1,19500.0,11,1,0,0,0,0,0,750,0,1,2,0,0,0,19500.0,2800,0,19,0,0,0,48,1,0,3,30,0,2017,0,1,1,0
71,790,1,0.0,3,1,1,0,1,0,1,0,1,0,27,34500.0,8,2,0,0,0,0,0,750,0,0,1,0,0,1,34500.0,3000,0,12,0,0,0,21,1,0,4,30,0,2020,0,3,1,0
72,4135,1,2000.0,3,1,1,0,1,1,6,0,1,0,3,19000.0,3,2,0,0,1,0,0,750,0,0,0,0,0,0,17000.0,2700,0,7,0,0,0,7,1,0,3,47,0,2008,0,1,0,1
73,2679,1,0.0,2,1,1,0,1,0,3,1,1,0,28,13500.0,11,1,0,0,0,0,0,750,0,1,0,0,0,0,13500.0,3000,0,13,0,0,0,186,0,0,3,39,0,2017,0,1,0,0
74,2828,1,0.0,1,0,0,0,0,0,2,0,0,0,15,23000.0,5,1,0,1,0,0,1,750,0,1,1,0,1,0,23000.0,2900,0,14,1,0,0,3,0,0,4,24,0,2018,0,4,0,0
75,1208,1,8000.0,2,1,0,0,1,1,0,0,1,0,9,19500.0,9,1,0,0,1,0,0,750,0,1,0,0,0,0,11500.0,3000,0,10,0,0,0,203,1,0,3,65,0,2020,0,1,0,0
76,1209,1,0.0,1,0,0,0,1,0,4,0,0,0,26,12000.0,7,0,0,0,0,0,0,750,0,1,0,0,1,0,12000.0,3000,0,20,1,0,0,106,0,0,3,37,1,2011,0,1,0,0
77,1279,1,0.0,1,0,0,0,1,0,6,0,0,0,18,20500.0,8,1,0,0,0,0,1,750,1,0,0,0,1,0,20500.0,3000,0,11,1,0,0,139,0,0,4,58,0,2018,0,1,0,0
78,4882,1,16500.0,2,1,2,0,1,1,3,1,1,0,21,54000.0,3,2,0,0,0,0,0,800,0,0,1,0,0,0,37500.0,3000,0,6,0,0,0,3,1,0,3,43,0,2018,0,1,0,1
79,26,1,0.0,3,1,3,0,1,0,1,1,0,0,8,29000.0,10,2,0,0,0,0,0,750,0,1,1,1,0,0,29000.0,3000,0,13,0,0,0,80,1,0,1,32,0,2016,0,1,0,0
80,1828,1,0.0,1,1,0,0,1,0,1,0,1,0,22,24000.0,1,1,0,0,0,0,0,750,0,1,0,0,0,0,24000.0,3000,0,5,0,0,0,131,0,0,1,47,0,2019,0,1,1,0
81,3510,1,4500.0,5,1,1,0,0,2,2,0,0,0,6,20000.0,11,1,0,1,1,0,0,750,0,1,5,1,0,0,15500.0,2900,0,11,0,0,0,19,1,0,4,36,0,2017,0,1,0,0
82,3602,1,20000.0,2,1,1,0,1,1,6,1,1,0,7,40500.0,7,1,0,0,0,0,0,750,0,1,2,0,0,0,20500.0,3000,0,8,0,0,0,240,0,0,0,66,0,2020,0,1,0,0
83,1960,1,0.0,2,1,2,0,1,0,3,0,1,0,24,15000.0,10,1,0,0,1,0,0,750,0,0,0,0,0,0,15000.0,3000,0,14,0,0,0,332,1,0,3,65,0,2019,0,1,0,1
84,1978,1,12500.0,3,1,0,0,1,1,1,0,1,0,12,49500.0,11,2,0,0,0,0,0,750,0,1,1,0,0,0,37000.0,3000,0,13,0,0,0,188,1,0,1,60,0,2018,0,1,1,0
85,345,0,0.0,1,1,0,0,1,0,0,0,1,0,4,12500.0,2,0,0,0,0,0,0,750,1,0,0,0,0,0,12500.0,3000,0,19,0,0,0,166,0,0,1,68,0,2020,1,1,1,0
86,3711,1,0.0,3,1,0,0,1,0,6,1,1,0,17,5500.0,2,0,0,0,0,0,0,750,0,1,0,0,0,0,5500.0,3000,0,6,0,0,0,176,1,0,3,47,0,2012,0,1,0,0
87,384,1,14000.0,2,1,1,0,1,4,4,1,0,0,18,33000.0,10,2,0,0,0,0,0,750,0,1,1,1,0,0,19000.0,3000,0,4,0,0,0,5,0,0,1,18,0,2011,0,3,0,0
88,3762,0,20500.0,2,1,1,0,1,2,0,0,0,1,23,37500.0,9,2,1,0,0,0,0,750,0,0,0,1,0,0,17000.0,3000,0,6,0,0,1,92,0,0,2,37,0,2010,0,1,1,0
89,536,1,17500.0,3,1,2,0,0,1,6,0,0,0,7,35500.0,7,1,0,1,1,0,0,750,0,1,1,1,0,0,18000.0,3000,0,3,0,0,0,248,1,0,4,71,0,2019,0,1,0,0
90,4099,0,0.0,2,1,0,0,1,0,4,1,1,0,15,11500.0,2,0,0,0,0,0,0,750,1,0,0,0,0,0,11500.0,2550,0,9,0,0,0,126,0,0,1,49,0,2015,1,1,0,0
91,2432,1,0.0,2,1,2,0,1,0,2,0,1,0,3,14500.0,4,1,1,0,1,0,0,750,0,0,0,0,0,0,14500.0,3000,0,4,0,0,1,111,1,0,3,32,0,2016,0,1,0,0
92,4152,1,15000.0,3,1,0,0,1,1,5,1,1,0,23,38000.0,3,2,0,0,0,0,0,750,0,1,5,0,0,0,23000.0,3000,0,15,0,0,0,98,1,0,3,49,0,2014,0,1,0,0
93,2514,0,0.0,1,1,3,0,1,0,3,0,1,0,3,4500.0,10,0,1,0,1,0,0,750,0,0,0,0,0,0,4500.0,3000,0,23,0,0,0,95,0,0,3,64,0,2019,1,1,0,0
94,4202,0,0.0,2,1,0,0,1,0,4,0,1,0,12,12500.0,4,0,0,0,1,0,0,750,0,1,0,0,0,0,12500.0,3000,0,14,0,0,0,34,0,0,3,46,0,2018,1,4,0,0
95,873,1,0.0,3,1,1,0,1,0,0,0,1,0,25,35000.0,3,2,0,0,0,0,0,750,1,0,2,0,0,0,35000.0,3000,0,7,0,0,0,83,1,0,1,33,0,2017,0,1,1,0
96,4227,1,9000.0,4,1,0,0,0,2,2,1,1,0,31,22000.0,7,1,0,1,0,0,0,750,0,1,1,0,0,0,13000.0,3000,0,14,0,0,0,121,1,0,0,75,0,2017,0,1,0,0
97,963,1,0.0,4,1,0,0,1,0,4,1,1,0,15,20000.0,3,1,0,0,0,0,0,750,0,1,1,0,0,0,20000.0,3000,0,10,0,0,1,90,1,0,1,29,0,2014,0,1,0,0
98,4466,0,0.0,2,1,1,0,1,0,1,1,1,0,27,16000.0,8,0,0,0,0,0,0,750,0,1,1,0,0,0,16000.0,3000,0,13,0,0,0,109,0,0,1,29,0,2016,1,1,0,0
99,1222,0,0.0,2,1,0,0,1,0,3,0,1,0,7,14500.0,3,0,0,0,1,0,0,750,0,1,1,0,0,0,14500.0,3000,0,8,0,0,0,160,0,0,3,54,0,2015,1,1,0,0
100,2924,1,0.0,1,0,1,0,1,0,4,0,0,0,13,9500.0,12,0,1,0,0,0,0,750,0,0,0,0,1,0,9500.0,3000,0,20,1,0,0,71,0,0,1,62,1,2014,0,1,0,0
101,3064,1,0.0,1,0,0,0,1,0,2,0,0,0,24,8000.0,4,1,0,0,0,0,1,750,1,0,0,0,1,0,8000.0,3000,0,13,1,0,0,23,0,0,3,28,0,2014,0,2,0,0
102,1467,1,0.0,3,1,2,0,0,0,6,0,1,0,20,17500.0,10,1,0,1,0,0,0,750,0,1,2,0,0,0,17500.0,3000,0,5,0,0,0,133,1,0,3,59,0,2018,0,1,1,0
103,1493,1,0.0,1,0,1,1,1,0,4,0,0,0,4,15000.0,10,0,0,0,0,0,0,750,0,1,0,0,1,0,15000.0,3000,0,18,1,0,0,55,0,0,3,31,1,2015,0,1,0,0
104,1596,1,0.0,3,1,3,0,1,0,0,1,1,0,8,16500.0,7,1,0,0,0,0,0,750,0,0,4,0,0,1,16500.0,2850,0,14,0,0,0,104,1,0,3,33,0,2013,0,1,0,0
105,4948,1,0.0,2,1,1,0,1,0,0,0,1,0,4,11000.0,3,1,1,0,0,0,0,750,0,0,0,0,0,0,11000.0,2850,0,16,0,0,0,58,0,0,3,42,0,2014,0,1,1,0
106,4991,1,0.0,3,1,2,0,1,0,0,0,1,0,2,13500.0,12,0,1,0,0,0,0,750,0,0,1,0,0,0,13500.0,3000,0,12,0,0,0,56,1,0,3,27,0,2015,0,2,1,0
107,3343,1,0.0,3,1,2,0,0,0,4,0,1,0,6,28000.0,9,2,0,1,0,0,0,750,1,0,1,0,0,0,28000.0,3000,0,19,0,0,0,127,1,0,4,62,0,2012,0,1,1,0
108,1687,1,0.0,2,1,1,0,1,0,3,0,0,0,18,17500.0,7,1,0,0,0,0,0,750,0,1,0,0,0,0,17500.0,3000,0,16,0,1,0,72,0,0,1,54,0,2017,0,1,1,0
109,117,0,0.0,2,1,0,0,0,0,2,0,1,0,4,17000.0,12,0,0,1,0,0,0,750,0,1,0,0,0,0,17000.0,3000,0,17,0,0,0,41,0,0,3,28,0,2018,1,1,1,0
110,144,0,0.0,2,1,1,0,1,0,3,1,1,0,27,8000.0,6,0,0,0,0,0,0,750,0,1,1,0,0,0,8000.0,3000,0,11,0,0,0,104,0,0,3,52,0,2016,1,1,0,0
111,2066,1,0.0,1,0,0,0,1,0,6,0,0,0,20,19000.0,10,1,0,0,0,0,1,750,0,1,0,0,1,0,19000.0,3000,0,11,1,0,0,8,0,0,3,43,0,2018,0,5,0,0
112,2095,0,0.0,1,1,0,0,1,0,1,0,1,0,2,14500.0,7,0,0,0,0,0,0,750,1,0,0,0,0,0,14500.0,2800,0,9,0,0,0,119,0,0,3,74,0,2016,1,1,1,0
113,460,1,15000.0,4,1,0,0,0,2,3,0,1,0,29,42000.0,8,2,0,1,0,0,0,750,0,1,3,0,0,0,27000.0,3000,0,11,0,0,0,31,1,0,4,45,0,2017,0,1,1,0
114,3963,0,0.0,1,1,0,0,0,0,1,1,0,0,14,12500.0,5,0,0,1,0,0,0,750,0,1,0,0,0,0,12500.0,2250,1,5,0,0,0,164,0,0,1,57,0,2007,1,1,0,0
115,2340,1,0.0,2,1,0,0,0,0,1,0,1,0,20,10000.0,8,1,0,1,1,0,0,750,0,1,0,0,0,0,10000.0,2750,0,12,0,0,0,196,1,0,3,75,0,2013,0,1,0,0
116,4200,1,0.0,3,1,0,0,1,0,4,1,0,0,25,18000.0,1,0,0,0,0,0,0,750,0,1,0,1,0,0,18000.0,3000,0,10,0,0,0,239,1,0,2,56,0,2018,0,1,0,0
117,2611,0,29500.0,1,1,2,0,1,1,2,1,1,0,7,50500.0,8,1,0,0,0,0,0,750,0,1,0,0,0,0,21000.0,3000,0,8,0,0,0,22,0,1,3,20,0,2016,0,3,0,0
118,2657,1,15000.0,2,1,0,0,1,1,1,0,0,0,15,27500.0,1,1,0,0,1,0,0,750,1,0,2,0,0,0,12500.0,3000,0,14,0,1,0,165,0,0,3,52,0,2016,0,1,0,0
119,4534,1,13000.0,3,1,1,0,0,1,1,1,1,0,3,21000.0,12,0,1,1,0,0,0,750,0,0,0,0,0,0,8000.0,2950,0,10,0,0,0,11,1,0,3,29,0,2012,0,2,0,0
120,4634,1,13000.0,2,1,1,0,1,1,4,0,1,0,29,26500.0,11,1,0,0,0,0,0,750,0,0,1,0,0,0,13500.0,3000,0,3,0,0,0,98,1,0,3,38,0,2014,0,1,1,1
121,4884,0,0.0,1,1,0,0,1,0,0,0,1,0,7,5000.0,1,0,0,0,1,0,0,750,1,0,0,0,0,0,5000.0,3000,0,3,0,0,0,101,0,0,0,72,0,2017,1,1,0,0
122,4914,0,0.0,2,1,2,0,0,0,1,0,1,0,26,15000.0,11,0,0,1,0,0,0,750,1,0,1,0,0,0,15000.0,3000,0,11,0,0,0,227,0,0,1,46,0,2016,1,1,1,0
